Árvore-Resultado 1 - Mmre: 0.0928096124045739, Pred: 0.9428571428571428
Árvore-Resultado 2 - Mmre: 0.08871975312012781, Pred: 0.9142857142857143
Árvore-Resultado 3 - Mmre: 0.10173605456889098, Pred: 0.9428571428571428
Árvore-Resultado 4 - Mmre: 0.09413433948838584, Pred: 0.9428571428571428
Árvore-Resultado 5 - Mmre: 0.09302613281243789, Pred: 0.9428571428571428
Árvore-Resultado 6 - Mmre: 0.08898362342632991, Pred: 0.9142857142857143
Árvore-Resultado 7 - Mmre: 0.09964808180800702, Pred: 0.9428571428571428
Árvore-Resultado 8 - Mmre: 0.0889539835926515, Pred: 0.9142857142857143
Árvore-Resultado 9 - Mmre: 0.0902103430289598, Pred: 0.9428571428571428
Árvore-Resultado 10 - Mmre: 0.08878913682272811, Pred: 0.9142857142857143
Árvore-Resultado 11 - Mmre: 0.09848455624919407, Pred: 0.9714285714285714
Árvore-Resultado 12 - Mmre: 0.08850877451704255, Pred: 0.9142857142857143
Árvore-Resultado 13 - Mmre: 0.09368562174533313, Pred: 0.9428571428571428
Árvore-Resultado 14 - Mmre: 0.09181265371526073, Pred: 0.9142857142857143
Árvore-Resultado 15 - Mmre: 0.10230515222494962, Pred: 0.9142857142857143
Árvore-Resultado 16 - Mmre: 0.09299739481518549, Pred: 0.9428571428571428
Árvore-Resultado 17 - Mmre: 0.09172573056935338, Pred: 0.9428571428571428
Árvore-Resultado 18 - Mmre: 0.09120816834757937, Pred: 0.9142857142857143
Árvore-Resultado 19 - Mmre: 0.08948836516626246, Pred: 0.9142857142857143
Árvore-Resultado 20 - Mmre: 0.09035463043573973, Pred: 0.9428571428571428



Média dos valores de mmre: 0.09287910544294967
