dataset;expressao;mmre
1;'((((x - 6.0) / 0.375) - 6.0) - 8.0)';0.20598692783297012
1;'(((x + (x + (4 * ((-6 / (x / (2 / (0.5 / (5 * x))))) / (2.0 + x))))) * 5.0) / 4)';0.21005825720777271
1;'((((((-5 - (x / -7)) + x) + x) + ((-1 + x) / 4.0)) + ((-1 + (x - 2)) / (3 - (-1.3333333333333333 + (15.0 / (x * -5)))))) + ((((x - ((8 / ((0.5 * ((12.0 + (1 - x)) - -8)) + 4)) * (x - 5.0))) * ((8 * x) / x)) - 1.0) / ((x * 6) / -1.5)))';0.20928597039391222
1;'((((((x * -9) / -3.5) - -4) - 24.0) - (x * ((((((-0.8888888888888888 / ((((4 + x) - 8.0) - ((x - 3) - (x - 6))) - 8.0)) / -9) * (7 * (x - (x - 2.0)))) / 2.25) + ((((-6.25 + (x * 12.0)) - 1) - x) - x)) / (x * -72.0)))) - 8)';0.2047944159500225
1;'((((x + ((((x / (-4 * x)) - (((((((((-3 + x) + 6.0) + ((7 - ((-7 - x) - -7)) / x)) * -1) - (-5 - x)) - 9.0) / (((-6 - x) - 3.0) * -2.0)) - 4.0) * 3)) * ((-3.0 + x) + (x + 7))) / x)) + (8.0 - ((6 * (((x / 9) - -104.0) / 8)) - 6.0))) + x) + x)';0.2061512728040737
1;'(((((x - (5 / (8 / x))) - 3.0) + (((-5 + x) + x) - 13.0)) - (x / -4)) - 6)';0.20892083971875255
1;'((((5 / (9 / x)) - 1.0) - ((-24.0 / ((x / 6) * x)) + (2 * (((-0.6666666666666665 * ((5 - x) * 5)) * -4) / 13.0)))) - (-63.0 * (-5 / x)))';0.20762663877422374
1;'(((((15.0 - x) / -1.2222222222222223) * 3) + ((-1 / ((-4 / (-12.5 / (3 + ((1.0 + (x / ((x - (6 * ((x / (((-8 - x) - (((-8 - (((1 + (-1 * x)) - (((3 - x) * (-3 * ((((((x + 5.0) / x) - x) * 4) / (x + (((-1 - x) * 8) - 1.0))) + 7))) / 9.0)) - -1)) / ((((-2.6666666666666665 - (x - (4 * (-4 + (-4.0 * (9 / (-2 - (4.0 + (((((x / 17.0) + x) + (x / -2)) / (((7 - (-5 - x)) * (x * (8 - x))) - 108.0)) - x))))))))) / (5 - (((-1 / (-8 + x)) / ((3 * x) - 7.0)) * -7))) - -651.0) - -7.0)) - (x * 7))) * -2)) * (((-2.0 / x) * (2 / x)) / 3)))) / 7))) / -6)))) * (4 * x))) + 0.018518518518518517)) + (((-5 - (-7 * (6 / ((((-12.0 - ((((((x * -2.0) + 9) * ((((-6 + (((-5 - (-7 - x)) - -8) + 6)) + ((21.0 - (-5.166666666666667 + ((x + 1.0) - -6))) - (((((-7.0 / (-24.0 / (-9 - (x - 6)))) + 7) * -9.0) - -9) * (x * 4)))) + x) / 4)) - (-1 - ((-8 * x) - -2))) * 4) / 3)) - 4) + (x - ((6 * x) - (x - (((2 / (9 - (0.8333333333333334 + ((x - 6) + 4)))) + ((x / ((-144.0 / x) - 8.0)) + (-9 - (((x + 2) - ((5 / x) * -1)) + (((12.0 - (13.0 - (x / 6))) / -1) * (x * (x * -9))))))) - -6))))) + x)))) + x) / 2))';0.20799272735964852
1;'(((x + (((((((6 + x) / x) * (x + (((-5 / x) - 9.75) - (5 + ((2 * (x * x)) / ((-2 - (((((x * 4) / 8.0) - -1.5) - -1) - (7 * x))) + x)))))) / 3) - (9 - x)) + (3.0 * (-6 + x))) * 0.125)) + x) - 9)';0.2183394604015476
1;'((((((x - (x / -7)) + (x / 2.6666666666666665)) + (2 + x)) - 8.0) - 5) - (((((x / -3) - 72.0) - -7) - 3) / ((-2 * x) - -9)))';0.2187150357182826
1;'((((((-7 + (x - 8.0)) + x) - ((x + ((-6 * ((-36.0 - (x - 1)) * (x / -3))) + (x * x))) / ((11.0 * ((((x + x) - 8) / (5.0 / (1 + x))) / -3)) * ((-1 + x) - 5.0)))) - 14.0) - ((x / -6) * 5.0)) - 8.0)';0.20439603496086622
1;'(((((x - 9.0) + x) + ((9 + x) - 48.0)) - -6) + ((7 / x) * 0.6666666666666666))';0.20993877227914068
1;'(((-35.0 + (((-8 / x) - (x / 4)) - -2)) + (x * 3)) + ((((-9 - x) / 5) * 5) / (((-6 / (x * 6)) + ((((x + 1.6) * -0.5714285714285714) - (-4 / (9 - (1.3333333333333333 + ((-8 * x) / 2))))) - -6)) + ((-5 * (((-8 / x) + 1.0) - 27.0)) + (-9 / x)))))';0.20042379649791212
1;'(((x * 3) - -4.0) - 45.0)';0.20978071017955513
1;'(((((x / -6.0) + x) + 9.0) + (x - 42.0)) + x)';0.20648621392119385
1;'((((-9 + x) * 3) - 6) - (x / 4))';0.2013042037606856
1;'((((((x / -7) + (9 + ((((-8 - (-5 * ((x / -15.0) - 2))) / ((((23.333333333333336 + x) - (-9 - x)) - -5) + ((3 / (((-2 / x) - 6) - 5)) - (((6.75 * (9 + (41.0 * ((x - 8.0) / ((((x - 1.0) * -0.2857142857142857) + x) * -3))))) + ((x - 62.0) + 1)) + x)))) * 2.2) + x))) - 1.0) - 44.0) + x) + x)';0.20422806744984778
1;'((((9 * ((x - 6.125) / 2)) * 0.6) - 6.125) - 6.125)';0.20498721522633698
1;'(((-1.0 - (3 * (x * -1))) - 40.0) - ((((-4 * ((x + 1.0) / -16.0)) * ((-10.666666666666666 / ((-0.3333333333333333 - (-5 / (((x + 9.0) / (-9.0 + (((2 * (9.0 / x)) * x) + 3))) + x))) * 2)) - x)) / x) * -0.4666666666666667))';0.20517644916887412
1;'(((-0.16666666666666666 * (-8 * (((((((x / (x * 2)) - 4) * -10.0) + 8) / -7) + (x + (1 / (((((-2 / x) - 5.0) / 28.0) - ((-2.5 + (2 - (((-3 - ((((((x + 5) * 7) - 3.0) + (x / -8.0)) / -1.125) + x)) / (((((((x + 7) + 4) - (-9 / x)) - (x * -5.0)) - 3) * 2) - 5.0)) * ((48.0 + ((x + 9.0) / -2)) * 5)))) - (((8 + x) - 14.0) / -7))) - (5 * (-2.0 + ((8 * x) * (-5 * x)))))))) - 6))) + x) + ((((((x / -1) * x) / (-5 - ((x * -3) * (-3 - ((-3 / x) - -6))))) + (-4 + x)) - 3) / 5.291666666666667))';0.21783223500894358
1;'(((x - 15.0) - ((6 * x) / -4.0)) - ((((((x / -5) - -7) - -90.0) / (-8 + (x / (2 + (x / (3 + ((-2 * (x - 5.0)) / -8))))))) / -5) * -2))';0.20678092430315073
1;'(((((x - 8.0) - 7.0) / 0.5714285714285714) + x) - 7.0)';0.20114481935011946
1;'((((((2.5 + (-9 / x)) * ((x - 1) - 2.0)) + 0.02) - 4.0) - (-54.0 / (((x * 7) + (112.0 / ((x + 13.0) / (-7 * x)))) / x))) - 1)';0.19888932261100503
1;'((((((-3.0 + (x - 8.0)) - (1 - ((x * 6) / 8))) + x) - 8) - 1) - 8.0)';0.20508316603621343
1;'((((((2 * x) - 18.0) + x) - (x / 6)) - 18.0) - -0.21428571428571427)';0.20347971046051438
1;'(((0.05555555555555555 * (22.0 * x)) + x) + (((-49.0 + ((-4 / x) - 4.0)) + x) / 3))';0.21561695585062962
1;'(((((7 - x) - -4.5) / -0.33333333333333337) - (((1.0 / (7 + (1 + (((((((5.0 / (10.0 / (x - 4))) - 8.0) / x) / 8.0) * (2 - (-3 - (2 / (7 / x))))) * x) * (0.26373626373626374 / (4 * (-7 * (-1.0 - ((6.428571428571429 / ((x / -2) + x)) * (((2 / x) * -14.0) * ((-8 * x) - -35.0))))))))))) / ((3 + ((-2 + ((-8 + x) - 12.0)) / 4)) - 7.857142857142857)) - (x / -7))) - ((x / 3) / 8))';0.2033694665085059
1;'((((((((((108.0 * (1.0 - (-8 - (54.0 - x)))) / x) + (1 - (5 * x))) - -1.0) / 28.0) + x) - 2.25) + x) + x) - 36.0)';0.20326331346088222
1;'((((1.0 / (1.125 / (((x - 9.0) / (x / ((-5 + (((x * -13.0) / 6) / -172.0)) - (x / -6.0)))) - (24.0 - ((((2 / x) / -3) / x) - 2.5555555555555554))))) + x) + x) + (3 - ((7 - x) / 2)))';0.20733864022288473
1;'((((((x + 2) / -4) + x) + ((x - (-5 / x)) - 16.0)) + x) - 16.0)';0.20190091322705844
2;'(((-13.0 + ((((-5 * x) - x) / -6) / 6.0)) / 6.0) - 3.0)';0.470643372402378
2;'((-5 + (2 / (((9 / x) * 2) * (((x - ((-3 + (-7 * x)) - 1.0)) / (2 * x)) - ((x + 9.0) / x))))) - 2.0)';0.45349180114126364
2;'(((-6.0 - ((x + (-0.15384615384615385 / x)) * -2)) - 360.0) / ((3 - x) / -5.0))';0.6071295422182194
2;'(((((19.666666666666668 * (x * -9)) / (((((((-3 - x) * ((-4 * (x + 4.0)) / -9)) + 5) + (x * (4.0 + x))) / 4) - (x + 7)) * (((-10.0 - x) / (((1 - (((((-12.0 - x) - 7) / (x * ((-9 * x) * -312.0))) * x) - 7.0)) * (-8 * ((x * (-1 - ((1.0 / x) - (x * -8)))) / ((x + 1.0) - 8.0)))) / -0.07608695652173914)) - -7))) + 3) / (-9 * (-7 * (3 / x)))) - 1)';0.601809164299655
2;'((((-42.0 + x) / 48.0) - 1.0) - 1.0)';0.5290140583135295
2;'(((((x + x) / 83.25) - 2.0) - 2.0) - (8 / (6.0 - (x / -5))))';0.47561063638349665
2;'(((-5 + x) / ((x / (1.125 + (((-9 / (((((5 / x) / 3.0) / ((x / -6) + (-8 * ((4 * (8.0 * ((-8 + (5 * x)) * -3))) * (1 + x))))) * -7) - 4.0)) * 2) * -33.0))) + 50.0)) - 2.0)';0.5199952239656984
2;'((((x - (x / -3.2)) / 63.0) - 1) - 1)';0.5478155765703712
2;'(((((x - 64.0) / 68.0) + (x / 72.0)) - 3.0) - 0.8571428571428571)';0.46150624146702546
2;'(((x / 25.0) - 7.0) - 0.42857142857142855)';0.47387221553919845
2;'((((-52.0 - ((-2 - x) + 36.0)) + 7) / (4 / ((x / 9) / (x + (((3 / (x + (x - 8))) / (-12.0 * x)) * x))))) - 3.0)';0.47448469670458865
2;'((((-0.6666666666666666 * (-1.5 * ((x * x) - (((9 - (-4 + (x / -3))) + (6.0 + x)) / x)))) / (48.0 * (x + 27.0))) - 0.8571428571428571) - 2.0)';0.5238038603994287
2;'((((8 * x) / 405.0) - 1.25) - 2.0)';0.5369667216041901
2;'((((x + ((7 / (((x * (((0.3333333333333333 / ((-5 * (-4 + x)) + 4.0)) / (x / 2.2857142857142856)) / -8)) * (-4 - ((((6 + ((2 / (-3.0 + ((16.0 + (x - (x + 7))) * ((x / -6) + (x - (-8 / x)))))) - -3)) - 7.0) - 8) - (-1 - (3 / x))))) - 8)) + (x - (((11.0 / (x + (-4 + (-1 + x)))) * (((2 * ((-9 + (x / (x / 3))) - -1)) * (((1 + ((((9 * ((x * -7) / -5)) / -2.0) + (x + x)) * -5)) * -0.2222222222222222) / x)) - (-2 - (-8.0 - (x + ((-56.0 - (-3 - (-2.3333333333333335 * (((-5 * (-7 - (-5 + (-3.0 + ((-9 * x) * (3 * ((-6 - x) - x))))))) / (5.545454545454546 + (8 + ((x * (x + 6.0)) + (((((x / -1) * (((-4 * (((((((x / -11.0) + ((5 - ((x + 2.0) - ((1.125 + (3 - ((x - (-1 * ((((((-1 - ((9 - (x / -7)) + (((x - 6) + ((-24.0 + (-1 - x)) - 28.0)) / ((x / -1.0) - 7.0)))) + ((-3 / (4 * x)) + (5 * (((-48.0 / (x - 8.0)) + (x * -15.0)) - 9.0)))) * -7) - -8) / 0.1111111111111111) + ((((2 / (-1 * x)) / (x - 2.0)) + (5 + (x / -4))) + (-2.0 * ((x + 1.0) * (4 / (0.75 / x)))))))) + ((x + 8) + (3 * x))))) - -3))) - -5)) - (-4 * (x * x))) + (7.0 + (x + 6))) / ((-3 * ((-8 - ((-1 - x) * 1.5)) * -2.0)) + (x * x))) - -6) - ((x / -1.6) / -13.0))) / 38.0) * x)) - 7) + ((-6.0 / ((((-5 * ((x - (-9 - x)) / 9)) * -6.0) - 9) + 9)) * -2)) / -2))))) / ((x - 8) + x))))) + (-4 * x))))))) - x)))) / 128.0) - 2.0) - 2.0)';0.48055920551889975
2;'(((x - 11.0) / (25.0 + ((x + (-3.6666666666666665 + ((((-8 - x) * -2) + ((x + 3.0) / (x - 3))) - 9))) / (x - 9)))) - 6.0)';0.45306381698903764
2;'((((((x + ((((-6 / x) - -48.0) + 2) / -9)) / 121.0) - 1.0) * 2) * 2) - 2)';0.44699862289542225
2;'(((((((-10.4 + x) / 88.0) / 0.625) - 1.0) - ((9 + x) / ((x / 9) + x))) / 0.625) - (((x - 2) + x) / ((x / 9) + x)))';0.4478793121523121
2;'(((((x - 20.0) + x) / 77.66666666666667) - 2.0) - 2.0)';0.4740835071409202
2;'(((-64.0 + x) / 7.0) / 7.0)';0.5797289241632028
2;'((((x / 4.0) / 10.0) - 3.0) - (-9 * ((-5.0 / x) * 7)))';0.46403054573025004
2;'((x / -4) / (-30.0 + ((((7 - ((x * ((-1 - x) - -1)) / -5)) / -7.0) / x) * 0.5)))';0.5856733354379954
2;'(((((-3.0 - x) * (-4.444444444444445 / ((((x * 1.25) - (x + 1.0)) - 2.3333333333333335) * ((x - 7.0) / -8.0)))) + ((x - (x - (x / -9))) / -7)) - -0.6666666666666666) - ((2 * x) / x))';0.5793286135453011
2;'(((((-6 - x) / -6.0) + x) / 40.0) - 5.0)';0.4565606830174467
2;'((((x / -9) - ((x / ((((x * (-3.0 * (x * (((3 * x) / (-6 + (-2.0 * ((x - 4.0) / x)))) / -6.0)))) * ((x + (18.0 * (((-3.0 * (-8.0 / (-3 + ((7 / (0.25 * (8 * (x + (((x + 1) - 7) - x))))) + 9)))) + (((x * -5) - 6.0) + 2)) * ((4 / (-2 + (6 - ((x + 0.3076923076923077) - 2.3333333333333335)))) - (((120.0 / (x / -0.4)) + 9) * (x / (9 + x))))))) / 4)) / (3 / x)) * 72.0)) - (((-6.0 / x) * -9) * 58.0))) / -9) * 1.5714285714285712)';0.489472793350889
2;'((((x * (-1 / ((x / -6) - -7))) * (((-88.2 - ((-2 / (7.0 + (x * (-5 - (-8 * (x / (-5 / ((((-4 + ((((-5.0 * ((((-4 - x) + (4 / (-8 * (((-5 * (x - 7.0)) * 8) / (x - 9))))) * (x + 4.0)) * ((8 * x) - 8.0))) / x) + 6) / ((3 * ((2 / ((x + ((4 / (((-4 + x) * -5) - 1)) * 189.0)) / -2.0)) / 2)) * (5.0 - ((x * (x - 1.6666666666666667)) - 88.0))))) / 60.0) - -7) / x)))))))) / 4)) - (x * -8)) / -2)) / -1330.0) - 2)';0.5899376655074569
2;'(((((x + (-7 * (-5 + x))) / -288.0) - 1) - 1) - 1)';0.5255090056648991
2;'(((((-1.0 + ((x / 8) + x)) / 48.0) - 1.6666666666666667) - 1.1428571428571428) - 1.0)';0.4892039488899957
2;'((((x - ((((x + 7.0) - -9) + 1) - x)) / 52.0) - 1.0) - 2.0)';0.5422962285174663
2;'(((-0.5 / x) - ((-9 + (x / 17.0)) / -4)) - ((-9 + (x / 17.0)) / -4))';0.47697370848644577
2;'(((((6 + (-1.8 + (x - 9.0))) - (((-9 / ((x + ((-28.0 - (x * -9)) * -8.0)) - -8)) / 5) - x)) / 47.05714285714286) / -45.0) * ((x + 7) / -36.0))';0.4541633433247849
3;'(((2.4 + (x - (-1.3333333333333333 / (6 + ((-8 / x) / (((((x / -1) - x) * (5.0 + x)) - ((-8 - (x - 106.0)) / -9)) - 8.0)))))) + 0.18367346938775508) + (x / 19.0))';0.26088747937629425
3;'((((x + 15.0) - (((-8 / x) / x) * -6)) / x) + x)';0.26223598604948106
3;'(((x + 1.5238095238095237) + 1.0) + 0.37037037037037035)';0.26257806094567726
3;'(((x - (3.5 / (x - 8))) - -2.0) - ((0.047619047619047616 / (-4 / ((-2 - x) / (-1.0 - (((-5 * x) / ((x - 1.0) - 7.0)) / -7))))) / (x - ((61.0 * (((x * ((-8 * ((x - (8 - x)) / ((x - (x + x)) - 7))) - 3)) * ((((x * 4) - 73.0) - -7) / 7)) / (8 + ((9 + (((5 / (x - 2)) + x) * (4 * (((x * -9) - 5.0) * -5)))) / x)))) - (((-9 * x) - 2.0) / (((-5 * (((x - 1) - (9 / (((-6 - ((-1 + ((((-1 + x) / 8) * -3) * (-2 / x))) / (-5 - x))) + (((x + 9) + (x / -1.0)) / -3)) / x))) - -8)) * -2) * ((-0.75 / (x / -7)) - 8)))))))';0.24849686173507765
3;'((((x - 2) - 4.0) + 9) + (-7 / (56.0 + (x * (-1 * ((((-0.8333333333333334 - x) - (-1 / (4 / (x * x)))) / -5) - (((-2 + (9 - x)) / (-12.0 + (-1 - (-5.0 / (6 / x))))) / -1)))))))';0.24941522406890038
3;'(((x - 6) + 9) - ((-1.2857142857142858 + (-2 - (1 - ((-1.0 * ((-3 - (5 - ((x - 9.0) + (x / 9)))) + (-9 + ((x / 2) + 31.6)))) / x)))) / (-55.0 + x)))';0.24624775878136193
3;'((((3.125 - ((x + (x + (x - 85.0))) + (-9 / (-7 - (-7 / (-2 / (x / -7))))))) / -78.0) + x) + 4)';0.25908482647347086
3;'((((4 / x) + 1.0) + (x - ((x / ((x + ((x - 4.0) / (7 * x))) * x)) / 16.0))) - ((x / -2) / 16.0))';0.2591996193394613
3;'(((((2 + x) + (-5 / ((6 - (-6 - ((((8 - x) - 0.0030581039755351682) + x) * (x / ((6 / ((5 * (((((-8 / ((x - 5.0) / -2)) / 7) / -4) + 1) * -4)) / ((((x / ((((x - 1.0) - 3) - (1 - x)) * 4)) / ((7.0 / x) * ((-4 * (8 + x)) / -4))) * -2) + 8))) - 7))))) * 7))) / x) + x) + 1.0)';0.2504589262166312
3;'((3.0 + x) + (-1.0 / ((9 - x) + (1 + ((-1 + ((-8 / x) + x)) / (x * (x * 5)))))))';0.2419046856801227
3;'((x + 1) + (4 / x))';0.26201016251512343
3;'(((2 + x) + ((-2 / (x * x)) / ((-9 * x) - x))) + 0.8888888888888888)';0.262623993602837
3;'((((3.0 + x) / x) + x) - (7 / (9.0 - (x * (x + 9.0)))))';0.26230026834743275
3;'((((((x * 2.0) - x) - 1.0588235294117647) + 1.0) + 1) + 2.0)';0.26291349543645726
3;'(((x + 4.0) / x) + x)';0.26201016251512343
3;'(((x + 3.0) + (((((-7 + x) - 8.0) / (-5 / (x / (5 - (-9 / (((x - 6.0) * 3) + 2)))))) * -6) / 294.0)) - 0.034013605442176874)';0.25922840694361765
3;'(((x - 0.15) + 3.0) + (6 / ((-8 + (-9.0 / (((((7 / x) / ((((4 - ((-8 / (7 - (x + 1))) * 2)) / -7) * -6) + (((x + 6) / ((((-3 / (((x + 9) * -1) - (x / ((((508.0 - x) / (4 * ((-45.0 / (x * -4.0)) / -7.0))) * x) / x)))) - x) * 3) / -1)) / 4))) * (x + 108.0)) * ((x / -6) / 6)) * (x - 4)))) * -10.0)))';0.25353735547310347
3;'(((5 - ((5 / (1 / (x * x))) / (-5.0 * (x + (-7 * (x / -8)))))) / x) + x)';0.2628824453974586
3;'((((4 + x) - 1.0) - ((1 / x) / (9 * x))) - ((1 / x) / (((-6 + x) - 2.0) * ((1 - (((4 + x) - 5.0) / 3)) + 2))))';0.25648369903561025
3;'((((1 - x) + x) + x) + (4.0 / x))';0.26201016251512343
3;'(((x - (((2.0 + (16.0 / (7 - (x - 3)))) * (6 / x)) / 24.0)) + 3.0) - ((1.0 - x) / 24.0))';0.24834361019394713
3;'(((((x - 0.3333333333333333) / ((((-2 + (x * ((-9 * ((-8 - ((x - 5.0) - 1987.0)) / (2.5925925925925926 + ((((x - ((x / (-4 / (9 * (5.0 * ((-1 / x) / (0.0 - ((-5 - x) / -16.0))))))) - (-1 / (5 - x)))) * (x * 2)) + 7) + (((x / -3) - 3) - x))))) - 8.0))) - ((((9 * (x - 2)) / 8) * 10.0) - (x * 63.0))) * -1.3333333333333333) * 0.3)) + x) + 2) + (2 / x))';0.25925861061395084
3;'(((((((x + 2.0) - 0.018518518518518517) + 1) - 0.018518518518518517) - 0.018518518518518517) - 0.018518518518518517) - 0.018518518518518517)';0.2625795380585743
3;'(((2.0833333333333335 / (0.0 - ((((-4 / ((x + (10.0 / x)) / 8)) - -3.0) * ((9 * (x * (7.0 / (6 + ((x * (-0.7777777777777778 * x)) * -9))))) - 8)) / ((1.5 / (x * ((x * 4) / (7 * ((x * 5) - 2.0))))) / -5)))) + x) + 3.0)';0.235675145735373
3;'(((x - 7) + 1) + 9.0)';0.2634952276430922
3;'(((2.0 + x) + 1.0) - (((x - 1.0) / (4 - (-1 + (-1 + (x / 9))))) / ((x - 4) - -5)))';0.25955977260915103
3;'((((-3 + x) + (x - ((2 * x) + x))) / -14.0) + ((5 / x) + x))';0.2593205044656617
3;'((2.903030303030303 - ((-0.10588235294117647 / ((5 / x) / 2.0)) - x)) + (((9 * x) / (x - 73.0)) / -15.0))';0.25032664718821085
3;'(((3.0 + x) - (((x / -10.0) / 0.3333333333333333) / (-0.47619047619047616 * (x + 9.0)))) - (((x / -9) / 0.3333333333333333) / ((((x - 10.0) + (13.0 - (x - 9))) - 7.0) - -3)))';0.26112437315136927
3;'((((((((x / -14.0) * (2 * x)) / ((((x + x) / x) - x) - -8)) + x) + (x * (1 - (-7 / (9 * x))))) / x) + x) + ((x / 5) / (((x + 1.0) / -2) * (x / (0.0 - (1.5 + x))))))';0.23430046751240458
4;'(((((x * (((1 + x) - (-3 / (((x / (x - 5)) + ((x - 6) / (x * 7))) * -1944.0))) * (((((((x / -3) + x) * 2) / -17.0) * 5) + (x + 0.5)) + (x + ((((-9 / x) - ((-6 * ((-6 - ((-3 - (((((x + 6.0) - -9) - 2) - 6) * 72.0)) * 4)) * (((((((3 / (-4 * x)) / -9) * 2) - -6) - 1) * 4) * (9 + x)))) * -9.5)) / ((x - (((((-4 - x) - ((x - 19.0) * (-15.625 + (1.0 / ((4 + x) - 9))))) * 5) + x) / (-3.0 * (5 + x)))) / (((-1.1428571428571428 / (-7 - (((((((-9 + x) + 35.0) * x) / x) - (-7 + x)) * (-8 - (-8 - (5 + (x - (9 + x)))))) - 10.0))) / (7 * x)) / (6 / x)))) / -4))))) / ((4 * (x / (-7 / (9 - x)))) + x)) * -1.8) + ((x / -6) * (x / 3))) / (-1.6666666666666667 * (((((5 * (x / 3)) * x) + x) / x) - (x * -9))))';0.45238815685780975
4;'(((((((x - (8 - x)) * -0.4) - -0.06857142857142857) / (8 / (x + 8.0))) * (9 / (((3 * x) * -64.0) * 5))) + 4) - (-6.0 / (x / 9)))';0.7416691728700494
4;'(((9 / x) + (12.0 - (x * x))) / (-96.0 * (56.0 / (8 / (-3.0 + ((1.0 - (x * -5)) / (((6.0 * (x + 1.7142857142857142)) / ((-4 - (((((7 * (-1 - (-6 + (6 * ((-2 * (9 * (-3 * ((7 * (((x / ((x - ((((((x / -9) / (-2 * (x / -9))) / 2) + 16.0) * (x - 16.0)) / 2.4285714285714284)) + x)) / (8 / (-7.0 * x))) / (x / 3))) * -4)))) - x))))) + 6) + (-8 + x)) / -8) / x)) * (6 * x))) - -10.0)))))))';0.4590165705453731
