dataset;num resultado;mmre;pred;tempo
Abran and Robillard;1;0.20651811819853416;0.6666666666666666;2714ms
Abran and Robillard;2;0.2030478132541218;0.6190476190476191;519ms
Abran and Robillard;3;0.19815782252537342;0.6190476190476191;1420ms
Abran and Robillard;4;0.20541165628688823;0.6666666666666666;363ms
Abran and Robillard;5;0.20831809894368436;0.6666666666666666;386ms
Abran and Robillard;6;0.20445587862865658;0.5714285714285714;272ms
Abran and Robillard;7;0.20195660794172804;0.6190476190476191;518ms
Abran and Robillard;8;0.202299270585488;0.6666666666666666;1059ms
Abran and Robillard;9;0.20460633138451667;0.5714285714285714;287ms
Abran and Robillard;10;0.20334246742124545;0.6666666666666666;367ms
Abran and Robillard;11;0.20140419282079586;0.6190476190476191;434ms
Abran and Robillard;12;0.2022460852617917;0.6190476190476191;1208ms
Abran and Robillard;13;0.20424911743495305;0.6190476190476191;726ms
Abran and Robillard;14;0.20728062503138722;0.6666666666666666;258ms
Abran and Robillard;15;0.2087764326326659;0.6190476190476191;1022ms
Abran and Robillard;16;0.20675155195728442;0.6666666666666666;304ms
Abran and Robillard;17;0.1807749809444198;0.6190476190476191;2183ms
Abran and Robillard;18;0.20424888289980248;0.6666666666666666;379ms
Abran and Robillard;19;0.20263164083800142;0.6190476190476191;206ms
Abran and Robillard;20;0.20455532131797746;0.6190476190476191;258ms
Abran and Robillard;21;0.20579106638959252;0.6190476190476191;228ms
Abran and Robillard;22;0.20708602569788997;0.6666666666666666;1090ms
Abran and Robillard;23;0.20240596758431634;0.6190476190476191;196ms
Abran and Robillard;24;0.20278934870480939;0.6190476190476191;206ms
Abran and Robillard;25;0.2034721917422009;0.6190476190476191;886ms
Abran and Robillard;26;0.2010338700762143;0.6190476190476191;927ms
Abran and Robillard;27;0.20291736875495156;0.6666666666666666;370ms
Abran and Robillard;28;0.2067575002523972;0.6666666666666666;209ms
Abran and Robillard;29;0.20149261317522965;0.6190476190476191;945ms
Abran and Robillard;30;0.2059825689744453;0.5714285714285714;374ms
Albrecht and Gaffney;1;0.4358282581660979;0.34782608695652173;891ms
Albrecht and Gaffney;2;0.5809178042934726;0.2608695652173913;820ms
Albrecht and Gaffney;3;0.4562751693449783;0.391304347826087;323ms
